Empfängerland,Summe 2013,Klimarelevante Summe 2013,Klimarelevanter Prozentsatz 2013,Summe 2014,Klimarelevante Summe 2014,Klimarelevanter Prozentsatz 2014,Summe 2015,Klimarelevante Summe 2015,Klimarelevanter Prozentsatz 2015,Summe 2016,Klimarelevante Summe 2016,Klimarelevanter Prozentsatz 2016,Summe 2017,Klimarelevante Summe 2017,Klimarelevanter Prozentsatz 2017,Summe 2018,Klimarelevante Summe 2018,Klimarelevanter Prozentsatz 2018,Summe 2019,Klimarelevante Summe 2019,Klimarelevanter Prozentsatz 2019,Summe 2020,Klimarelevante Summe 2020,Klimarelevanter Prozentsatz 2020,Summe 2021,Klimarelevante Summe 2021,Klimarelevanter Prozentsatz 2021,Summe 2022,Klimarelevante Summe 2022,Klimarelevanter Prozentsatz 2022
Afghanistan,229.878097,18.110155000000002,0.07878155960200071,286.80786,30.496058,0.10632922682105017,197.4295,30.311894000000002,0.15353274966507033,346.234112,38.308327999999996,0.1106428473460177,311.67034,42.7626325,0.13720469037894334,255.815158,41.988155500000005,0.16413474411864212,241.099156,39.849201,0.16528137908537516,196.114075,33.4595765,0.1706128257240078,352.840862,47.6576215,0.13506831728576832,201.939382,12.03507,0.05959743899780776
"Africa, regional",132.706037,34.237272499999996,0.2579933307781619,129.848523,15.7077825,0.12097005138826261,182.614727,75.9741725,0.4160352987303154,129.000894,16.6014445,0.1286924763482647,240.258759,73.4141915,0.30556301799594326,262.731752,50.676508,0.1928830741401976,555.037032,129.931864,0.23409584677946318,686.808006,161.1818375,0.23468252567224734,643.229422,131.993625,0.20520458251053075,627.644704,138.891343,0.22128975535815243
Albania,19.317268,5.281618,0.27341433581601704,16.371641,4.651059999999999,0.2840924742974757,19.155382,6.3625945,0.3321570146708638,18.96898,6.563644,0.3460198703356744,21.017326,7.4076895,0.3524563257952034,55.514401,43.7535185,0.7881471782429932,19.355900000000002,5.2594145,0.27172151643684866,30.080576999999998,5.8048405,0.1929763681062368,29.366152,7.8811045,0.2683737556081573,25.328362,8.592429,0.3392414006085352
Algeria,6.080655,1.1752895,0.19328337161045975,5.218615,2.5430349999999997,0.4873007493367493,6.014444,3.4634735,0.575859298049828,4.6849490000000005,2.7113755,0.5787417323006077,5.347355,3.287173,0.6147287771243914,6.986998,4.082637,0.5843191882980359,9.983005,4.5452105,0.4552948235526276,11.714897,4.7168054999999995,0.4026331174742722,25.777176,6.526832,0.253201979922083,16.273651,7.171532,0.4406836548233706
"America, regional",61.039902,12.957501,0.2122791907496837,73.783053,20.492112000000002,0.2777346716731822,48.050705,5.792946,0.12055902197480764,77.236341,18.8670295,0.24427658348030756,95.230412,36.874818,0.38721682733032803,59.652114,16.0364015,0.2688320735791526,103.276123,40.433402,0.39150774472817884,146.31460900000002,54.0324995,0.36928984651149904,82.869791,29.5544005,0.3566365999402605,107.665968,50.903984,0.4727954891001398
Angola,3.303299,0.259026,0.07841433669794953,2.384683,0.392546,0.16461139698651772,2.155592,0.21202600000000002,0.09836091431031477,2.685854,0.614978,0.22896925893961476,2.57651,0.3720605,0.14440483444659638,3.937149,1.157824,0.2940767545246573,4.260614,1.319417,0.3096776661767529,4.194615,1.6677475,0.3975925084900521,4.830643,1.8151005,0.37574718313897343,4.823271,1.2568345,0.26057720994735734
Argentina,4.394577,1.2739905,0.28990059794150835,4.975084,1.5699775,0.3155680386502017,48.619634,1.1617365,0.023894390072948718,4.122951,1.1841925,0.28721963952518476,3.81242,1.0662085,0.2796671143263334,4.840162,0.9411395,0.19444380167440675,3.810521,0.7155405,0.18778022742821782,3.203587,0.6478094999999999,0.2022137997188776,4.035065,0.8366335,0.20734077394044456,1.1997309999999999,0.18754800000000002,0.15632504286377533
Armenia,6.568295,0.5420630000000001,0.082527200742354,6.980998,1.0134035000000001,0.145165992025782,6.098111,1.7507450000000002,0.2870962827669093,6.608719,2.1263715,0.32175244551932075,15.783431,7.2015780000000005,0.4562745577941831,3.478372,1.0788275,0.3101529968617503,5.137774,1.8624585,0.3625030022729688,3.85332,1.289939,0.33476041439589754,3.6474029999999997,1.289656,0.3535819869644237,4.42366,2.4529895,0.5545158307826551
"Asia, regional",91.458578,19.1871745,0.20979086838634206,93.570477,15.467013999999999,0.16529801381690082,114.152608,17.9024265,0.15682888734351125,153.251449,29.9489965,0.1954239042790388,143.317589,27.480241,0.19174367355565827,151.557862,26.3794695,0.17405543435285462,116.80655,17.66004,0.15119049402623397,117.695205,18.513485,0.15730024855303154,112.355539,23.0979865,0.20557941963146117,92.797764,14.7368525,0.15880611627668098
Azerbaijan,5.3115570000000005,0.4803925,0.0904428776722155,13.459700999999999,5.7821810000000005,0.4295920838063194,8.720753,2.677975,0.30708070736552223,7.174971,2.403772,0.3350218419001275,5.059375999999999,2.2618034999999996,0.4470518696376786,7.192943,3.5870005,0.49868329277737916,3.222391,1.6111955,0.5,0.24984,0.12492,0.5,0.505586,0.2054895,0.4064382716293568,0.5540780000000001,0.131585,0.2374846140796061
