Sector,Recipient Name,amount_2013,clim_rel_amount_2013,clim_adapt_amount_2013,clim_miti_amount_2013,non_miti_adapt_2013,non_clim_2013,amount_2014,clim_rel_amount_2014,clim_adapt_amount_2014,clim_miti_amount_2014,non_miti_adapt_2014,non_clim_2014,amount_2015,clim_rel_amount_2015,clim_adapt_amount_2015,clim_miti_amount_2015,non_miti_adapt_2015,non_clim_2015,amount_2016,clim_rel_amount_2016,clim_adapt_amount_2016,clim_miti_amount_2016,non_miti_adapt_2016,non_clim_2016,amount_2017,clim_rel_amount_2017,clim_adapt_amount_2017,clim_miti_amount_2017,non_miti_adapt_2017,non_clim_2017,amount_2018,clim_rel_amount_2018,clim_adapt_amount_2018,clim_miti_amount_2018,non_miti_adapt_2018,non_clim_2018,amount_2019,clim_rel_amount_2019,clim_adapt_amount_2019,clim_miti_amount_2019,non_miti_adapt_2019,non_clim_2019,amount_2020,clim_rel_amount_2020,clim_adapt_amount_2020,clim_miti_amount_2020,non_miti_adapt_2020,non_clim_2020,amount_2021,clim_rel_amount_2021,clim_adapt_amount_2021,clim_miti_amount_2021,non_miti_adapt_2021,non_clim_2021,amount_2022,clim_rel_amount_2022,clim_adapt_amount_2022,clim_miti_amount_2022,non_miti_adapt_2022,non_clim_2022
"I.1.a. Education, Level Unspecified",Afghanistan,0.020691,0.0,0.0,0.0,0.020691,0.020691,2.58816,0.0,0.0,0.0,2.58816,2.58816,0.5949690000000001,0.0,0.0,0.0,0.5949690000000001,0.5949690000000001,0.557594,0.0,0.0,0.0,0.557594,0.557594,1.642552,0.0,0.0,0.0,1.642552,1.642552,6.4732650000000005,0.0,0.0,0.0,6.4732650000000005,6.4732650000000005,5.542202,0.0,0.0,0.0,5.542202,5.542202,5.207023,0.0,0.0,0.0,5.207023,5.207023,6.091174,0.0,0.0,0.0,6.091174,6.091174,3.371989,0.0,0.0,0.0,3.371989,3.371989
"I.1.a. Education, Level Unspecified","Africa, regional",2.571572,0.0,0.0,0.0,2.571572,2.571572,6.053526,1.7264935,1.7264935,0.0,4.3270325,4.3270325,6.745418,1.7182755,1.7182755,0.0,5.0271425,5.0271425,4.135349,2.0676745,2.0676745,0.0,2.0676745,2.0676745,4.981682,0.0,0.0,0.0,4.981682,4.981682,5.735737,0.0,0.0,0.0,5.735737,5.735737,5.32521,0.0,0.0,0.0,5.32521,5.32521,6.158189,0.0,0.0,0.0,6.158189,6.158189,6.715193,0.0,0.0,0.0,6.715193,6.715193,10.446067000000001,0.0,0.0,0.0,10.446067000000001,10.446067000000001
"I.1.a. Education, Level Unspecified","America, regional",2.482967,0.0,0.0,0.0,2.482967,2.482967,2.301992,0.0,0.0,0.0,2.301992,2.301992,,,,,,,,,,,,,0.07755,0.0,0.0,0.0,0.07755,0.07755,0.323024,0.0,0.0,0.0,0.323024,0.323024,2.709482,0.0,0.0,0.0,2.709482,2.709482,3.381986,0.0,0.0,0.0,3.381986,3.381986,2.853488,0.0,0.0,0.0,2.853488,2.853488,2.8640689999999998,0.0,0.0,0.0,2.8640689999999998,2.8640689999999998
"I.1.a. Education, Level Unspecified","Asia, regional",4.524518,2.262259,2.262259,0.0,2.262259,2.262259,4.495654,2.247827,2.247827,0.0,2.247827,2.247827,7.910051,0.0,0.0,0.0,7.910051,7.910051,6.214831,0.0,0.0,0.0,6.214831,6.214831,3.670699,0.0,0.0,0.0,3.670699,3.670699,4.2052059999999996,0.0,0.0,0.0,4.2052059999999996,4.2052059999999996,5.010087,0.0,0.0,0.0,5.010087,5.010087,4.222087,0.0,0.0,0.0,4.222087,4.222087,5.302693,0.0,0.0,0.0,5.302693,5.302693,7.222312,0.0,0.0,0.0,7.222312,7.222312
"I.1.a. Education, Level Unspecified",Belarus,0.015519,0.0,0.0,0.0,0.015519,0.015519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I.1.a. Education, Level Unspecified",Benin,1.56148,0.0,0.0,0.0,1.56148,1.56148,1.701447,0.0,0.0,0.0,1.701447,1.701447,1.810672,0.0,0.0,0.0,1.810672,1.810672,1.473413,0.0,0.0,0.0,1.473413,1.473413,1.907181,0.0,0.0,0.0,1.907181,1.907181,2.596884,0.0,0.0,0.0,2.596884,2.596884,2.115611,0.0,0.0,0.0,2.115611,2.115611,0.157595,0.0,0.0,0.0,0.157595,0.157595,0.014822,0.0,0.0,0.0,0.014822,0.014822,,,,,,
"I.1.a. Education, Level Unspecified","Bilateral, unspecified",36.393173,1.896017,0.9480085,0.9480085,34.497156,34.497156,23.260198,0.3547755,0.0,0.3547755,22.9054225,22.9054225,35.46387,0.22532000000000002,0.199413,0.025907,35.23855,35.23855,39.012949,0.393593,0.1967965,0.1967965,38.619355999999996,38.619355999999996,38.712052,0.38775,0.193875,0.193875,38.324302,38.324302,51.993515,0.0,0.0,0.0,51.993515,51.993515,69.786778,1.603265,1.603265,0.0,68.183513,68.183513,121.182146,0.0,0.0,0.0,121.182146,121.182146,119.37965899999999,0.0,0.0,0.0,119.37965899999999,119.37965899999999,165.92058600000001,0.059563,0.059563,0.0,165.86102300000002,165.86102300000002
"I.1.a. Education, Level Unspecified",Bosnia and Herzegovina,0.001052,0.0,0.0,0.0,0.001052,0.001052,1.727636,0.0,0.0,0.0,1.727636,1.727636,2.082394,0.0,0.0,0.0,2.082394,2.082394,0.9557730000000001,0.0,0.0,0.0,0.9557730000000001,0.9557730000000001,1.037174,0.0,0.0,0.0,1.037174,1.037174,1.856926,0.0,0.0,0.0,1.856926,1.856926,0.721413,0.0,0.0,0.0,0.721413,0.721413,0.278599,0.0,0.0,0.0,0.278599,0.278599,0.143713,0.0,0.0,0.0,0.143713,0.143713,,,,,,
"I.1.a. Education, Level Unspecified",Brazil,0.348581,0.085524,0.0,0.085524,0.263057,0.263057,0.132026,0.039946,0.0,0.039946,0.09208,0.09208,0.128688,0.0,0.0,0.0,0.128688,0.128688,0.490491,0.009652,0.0,0.009652,0.480839,0.480839,0.185474,0.0,0.0,0.0,0.185474,0.185474,0.252915,0.027616,0.027616,0.0,0.225299,0.225299,0.513203,0.088473,0.088473,0.0,0.42472999999999994,0.42472999999999994,0.5755210000000001,0.0974465,0.0974465,0.0,0.47807450000000007,0.47807450000000007,0.515871,0.0869265,0.0869265,0.0,0.42894449999999995,0.42894449999999995,0.477224,0.1875875,0.1875875,0.0,0.28963649999999996,0.28963649999999996
"I.1.a. Education, Level Unspecified",Burkina Faso,1.315255,0.0,0.0,0.0,1.315255,1.315255,0.24499100000000001,0.0,0.0,0.0,0.24499100000000001,0.24499100000000001,,,,,,,,,,,,,0.212929,0.0,0.0,0.0,0.212929,0.212929,0.216056,0.0,0.0,0.0,0.216056,0.216056,0.247837,0.0,0.0,0.0,0.247837,0.247837,0.069376,0.0,0.0,0.0,0.069376,0.069376,,,,,,,0.125304,0.0,0.0,0.0,0.125304,0.125304
