Jahr,Gesamtsumme (Mrd. $),davon Klimafinanzierung,davon Klimaanpassungsfinanzierung,davon Klimaschutzfinanzierung
2013,5115.784928000001,992.1157515,430.7806885,561.335063
2014,6323.119826,1197.4062454999998,599.863973,597.5422724999999
2015,5316.503434,1152.733316,661.3629425,491.3703735
2016,6897.008021999999,1660.7252425,893.3454895,767.3797529999999
2017,7204.686970000001,1715.0851885,865.653914,849.4312745000001
2018,8012.691583,1904.1751305000003,1048.3748995,855.800231
2019,8632.582927,2310.213481,1242.9992965,1067.2141844999999
2020,10294.707282000001,2563.918782,1509.8835305,1054.0352515
2021,10593.415129,2972.0431985,1596.187821,1376.0353525
2022,11452.254162000001,3333.9974945000004,1693.4066475,1640.8565500000002
