Sector,amount_2013,clim_rel_amount_2013,clim_adapt_amount_2013,clim_miti_amount_2013,non_miti_adapt_2013,non_clim_2013,amount_2014,clim_rel_amount_2014,clim_adapt_amount_2014,clim_miti_amount_2014,non_miti_adapt_2014,non_clim_2014,amount_2015,clim_rel_amount_2015,clim_adapt_amount_2015,clim_miti_amount_2015,non_miti_adapt_2015,non_clim_2015,amount_2016,clim_rel_amount_2016,clim_adapt_amount_2016,clim_miti_amount_2016,non_miti_adapt_2016,non_clim_2016,amount_2017,clim_rel_amount_2017,clim_adapt_amount_2017,clim_miti_amount_2017,non_miti_adapt_2017,non_clim_2017,amount_2018,clim_rel_amount_2018,clim_adapt_amount_2018,clim_miti_amount_2018,non_miti_adapt_2018,non_clim_2018,amount_2019,clim_rel_amount_2019,clim_adapt_amount_2019,clim_miti_amount_2019,non_miti_adapt_2019,non_clim_2019,amount_2020,clim_rel_amount_2020,clim_adapt_amount_2020,clim_miti_amount_2020,non_miti_adapt_2020,non_clim_2020,amount_2021,clim_rel_amount_2021,clim_adapt_amount_2021,clim_miti_amount_2021,non_miti_adapt_2021,non_clim_2021,amount_2022,clim_rel_amount_2022,clim_adapt_amount_2022,clim_miti_amount_2022,non_miti_adapt_2022,non_clim_2022
"I.1.a. Education, Level Unspecified",87.245749,6.281511999999999,3.838428,2.443084,80.964237,80.964237,73.771448,5.642177,4.2519775,1.3901995,68.129271,68.129271,83.159233,3.442263,2.5140175,0.9282455,79.71697,79.71697,86.800258,5.211660999999999,2.7614945,2.4501665,81.588597,81.588597,92.559681,1.7658705,0.538691,1.2271795,90.79381049999999,90.79381049999999,136.474993,11.051233000000002,10.052934,0.998299,125.42376000000002,125.42376000000002,150.119022,11.199315,7.5305695,3.6687455,138.919707,138.919707,226.390311,7.5342335,5.9971515,1.537082,218.8560775,218.8560775,252.42827,1.5366765,0.870306,0.6663705,250.8915935,250.8915935,265.014798,2.8290800000000003,1.364922,1.4641579999999998,262.185718,262.185718
I.1.b. Basic Education,153.93079,0.1856635,0.1395905,0.046073,153.7451265,153.7451265,169.047826,0.158667,0.11231949999999999,0.0463475,168.88915899999998,168.88915899999998,247.260621,0.16044,0.1524635,0.0079765,247.100181,247.100181,239.081905,1.3342145,1.1938985000000002,0.140316,237.7476905,237.7476905,163.615478,0.365663,0.157871,0.207792,163.24981499999998,163.24981499999998,181.657973,0.213035,0.14402500000000001,0.06900999999999999,181.444938,181.444938,276.33132,0.4988825,0.3601995,0.138683,275.8324375,275.8324375,392.548038,0.2606225,0.146945,0.1136775,392.2874155,392.2874155,270.355294,0.5616289999999999,0.380428,0.181201,269.79366500000003,269.79366500000003,237.27443,0.8303135,0.566782,0.2635315,236.4441165,236.4441165
I.1.c. Secondary Education,110.570602,4.4614175,3.3829130000000003,1.0785045,106.1091845,106.1091845,123.680119,5.417927499999999,3.6294945,1.788433,118.2621915,118.2621915,163.751111,8.053891499999999,5.0570815,2.99681,155.69721950000002,155.69721950000002,202.396396,3.776803,1.578438,2.198365,198.619593,198.619593,223.352113,4.6795525,2.142852,2.5367005000000002,218.6725605,218.6725605,250.950674,4.4912695000000005,3.246801,1.2444685,246.4594045,246.4594045,289.645386,8.242171,4.761793,3.480378,281.403215,281.403215,275.831187,8.4564735,4.6256715,3.830802,267.3747135,267.3747135,338.886399,25.0233005,18.651157,6.3721435,313.8630985,313.8630985,336.204882,24.097309,17.4528755,6.6444335,312.107573,312.107573
I.1.d. Post-Secondary Education,104.939416,10.3693145,3.06604,7.3032745,94.57010149999999,94.57010149999999,91.545807,3.192433,2.9320554999999997,0.2603775,88.353374,88.353374,94.759451,7.356929,3.7162585,3.6406704999999997,87.402522,87.402522,100.578689,7.057220500000001,3.2846290000000002,3.7725915,93.5214685,93.5214685,103.391182,8.768037,4.696814,4.071223,94.623145,94.623145,98.107775,9.6598555,5.8903005,3.7695550000000004,88.4479195,88.4479195,89.30299600000001,8.737995999999999,5.0520065,3.6859895,80.56500000000001,80.56500000000001,101.871845,6.80188,3.481878,3.320002,95.069965,95.069965,100.411047,4.537378,2.0361405,2.5012375,95.87366899999999,95.87366899999999,107.771939,5.1371905,1.9591935,3.177997,102.6347485,102.6347485
"I.2.a. Health, General",95.765407,0.0245835,0.0,0.0245835,95.74082349999999,95.74082349999999,86.81167599999999,3.661154,3.661154,0.0,83.150522,83.150522,89.366936,4.462790999999999,4.4612725,0.0015185,84.904145,84.904145,87.6384,3.8095429999999997,3.8095429999999997,0.0,83.828857,83.828857,98.10188099999999,2.3792025,2.3792025,0.0,95.72267849999999,95.72267849999999,110.607243,0.4751695,0.4751695,0.0,110.13207349999999,110.13207349999999,129.421547,6.4166425,0.5583305,5.858312,123.00490450000001,123.00490450000001,174.00797,16.398422,0.7312405,15.667181500000002,157.609548,157.609548,166.209784,1.4987635,0.843957,0.6548065,164.71102050000002,164.71102050000002,174.278158,0.6410305000000001,0.493282,0.1477485,173.6371275,173.6371275
I.2.b. Basic Health,158.133749,0.7928945,0.21456999999999998,0.5783245,157.3408545,157.3408545,173.291741,0.25281,0.19262,0.060189999999999994,173.038931,173.038931,149.021692,0.7301075,0.6988665,0.031241,148.2915845,148.2915845,186.325695,1.9849014999999999,1.9849014999999999,0.0,184.3407935,184.3407935,251.09717799999999,2.8191375,2.7532205,0.065917,248.27804049999997,248.27804049999997,295.861576,3.01675,2.6717895,0.3449605,292.844826,292.844826,316.922164,3.1251765000000002,2.6980210000000002,0.4271555,313.7969875,313.7969875,511.053424,9.6255155,9.1194935,0.506022,501.4279085,501.4279085,458.272545,8.225206,5.5590275,2.6661785,450.04733899999997,450.04733899999997,1199.102079,22.426779500000002,19.360655,3.0661245,1176.6752995,1176.6752995
I.3. Population Policies/Programmes & Reproductive Health,154.994846,1.0180425,0.0104085,1.007634,153.9768035,153.9768035,160.573929,1.0034645,0.1631705,0.840294,159.57046449999999,159.57046449999999,159.666195,0.0,0.0,0.0,159.666195,159.666195,195.485322,0.0,0.0,0.0,195.485322,195.485322,162.382796,0.130953,0.130953,0.0,162.251843,162.251843,151.233217,1.1328065,1.1328065,0.0,150.1004105,150.1004105,140.140758,1.445219,1.445219,0.0,138.695539,138.695539,158.732896,2.4835190000000003,2.4835190000000003,0.0,156.249377,156.249377,172.118568,2.3323460000000003,2.3323460000000003,0.0,169.786222,169.786222,179.901281,3.351427,3.351427,0.0,176.549854,176.549854
I.4. Water Supply & Sanitation,340.989113,102.046666,75.8016285,26.2450375,238.94244699999996,238.94244699999996,349.651904,115.889128,88.69001,27.199118,233.762776,233.762776,342.56577,113.8678415,90.1594315,23.70841,228.6979285,228.6979285,418.833837,150.108114,110.777723,39.330391,268.725723,268.725723,439.533061,173.489369,135.3687825,38.1205865,266.04369199999996,266.04369199999996,468.769446,200.44823,155.478497,44.969733,268.32121600000005,268.32121600000005,440.633893,202.83394049999998,160.774435,42.0595055,237.7999525,237.79995250000002,466.670394,190.186227,155.5064965,34.6797305,276.48416699999996,276.48416699999996,490.291625,200.704609,154.8490545,45.8555545,289.587016,289.587016,479.942386,190.6603305,141.068684,49.5916465,289.2820555,289.2820555
I.5.a. Government & Civil Society-general,791.300249,56.859578,31.586324,25.273254,734.4406710000001,734.4406710000001,887.065155,27.507943,15.276164999999999,12.231778,859.557212,859.557212,801.63979,28.361544,16.367221,11.994323,773.278246,773.278246,1024.21793,36.227988,25.4356355,10.7923525,987.989942,987.989942,964.725825,43.342284,26.1981385,17.1441455,921.383541,921.383541,1056.656674,50.659897,31.999484,18.660413,1005.9967770000001,1005.9967770000001,1125.044468,56.19115,35.556468,20.634682,1068.853318,1068.853318,1140.883682,88.4025485,44.912344,43.4902045,1052.4811335,1052.4811335,1388.025588,146.060945,69.07747,76.983475,1241.964643,1241.964643,1145.696631,111.030814,57.49271,53.538104,1034.665817,1034.665817
"I.5.b. Conflict, Peace & Security",132.299555,0.46519,0.34195949999999997,0.1232305,131.834365,131.834365,142.017188,0.3903725,0.2392745,0.151098,141.6268155,141.6268155,155.547184,0.1730245,0.1584005,0.014624,155.3741595,155.3741595,177.827718,0.15041749999999998,0.1084345,0.041983,177.6773005,177.6773005,225.322447,2.2398755,2.1971119999999997,0.0427635,223.0825715,223.0825715,294.58550199999996,3.745661,3.5487825,0.1968785,290.839841,290.839841,244.152893,11.3088535,8.8146085,2.4942450000000003,232.8440395,232.8440395,325.751884,16.244899,9.661426500000001,6.5834725,309.50698500000004,309.50698500000004,396.51365499999997,29.509641,25.567887999999996,3.9417530000000003,367.004014,367.004014,369.056762,26.3748495,21.798282999999998,4.5765665,342.6819125,342.6819125
